DSID,gq_scaled,gqd_scaled,mass,width,branching_ratio,cross_section
100001,0.0005,0.005,600,0.00046,0.8564539,0.46549999999999997
100002,0.0005,0.005,800,0.00062,0.8527200,0.156
100003,0.0005,0.005,1000,7.775e-04,0.8508813,0.06364
100004,0.0005,0.005,1200,9.348e-04,0.8498555,0.029429999999999998
100005,0.0005,0.005,1500,1.170e-03,0.8490027,0.01078
100006,0.0005,0.005,1800,1.406e-03,0.8485345,0.004469
100007,0.0005,0.005,2200,1.719e-03,0.8481804,0.001566
100008,0.0005,0.005,2600,2.033e-03,0.8479759,0.0006034
100009,0.0005,0.005,3000,2.346e-03,0.8478473,0.0002479
100010,0.0005,0.005,3500,2.737e-03,0.8477441,8.618e-05
100011,0.0005,0.01,600,0.00165,0.9597838,0.5216000000000001
100012,0.0005,0.01,800,0.00221,0.9586078,0.1754
100013,0.0005,0.01,1000,2.762e-03,0.9580260,0.07164999999999999
100014,0.0005,0.01,1200,3.318e-03,0.9577006,0.03316
100015,0.0005,0.01,1500,4.151e-03,0.9574297,0.01215
100016,0.0005,0.01,1800,4.984e-03,0.9572807,0.005042
100017,0.0005,0.01,2200,6.094e-03,0.9571681,0.001767
100018,0.0005,0.01,2600,7.203e-03,0.9571029,0.0006810999999999999
100019,0.0005,0.01,3000,8.313e-03,0.9570620,0.0002798
100020,0.0005,0.01,3500,9.699e-03,0.9570291,9.729e-05
100021,0.0005,0.015,600,0.00362,0.9817177,0.5335
100022,0.0005,0.015,800,0.00485,0.9811705,0.17950000000000002
100023,0.0005,0.015,1000,6.070e-03,0.9808995,0.07336000000000001
100024,0.0005,0.015,1200,7.290e-03,0.9807478,0.033960000000000004
100025,0.0005,0.015,1500,9.120e-03,0.9806215,0.012450000000000001
100026,0.0005,0.015,1800,1.095e-02,0.9805521,0.005164
100027,0.0005,0.015,2200,1.338e-02,0.9804996,0.00181
100028,0.0005,0.015,2600,1.582e-02,0.9804692,0.0006977
100029,0.0005,0.015,3000,1.826e-02,0.9804501,0.00028660000000000003
100030,0.0005,0.015,3500,2.130e-02,0.9804347,9.967e-05
100031,0.0005,0.02,600,0.00639,0.9896333,0.5378999999999999
100032,0.0005,0.02,800,0.00855,0.9893204,0.181
100033,0.0005,0.02,1000,1.070e-02,0.9891654,0.07398
